,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
44,0.6908,Tue Jan 09 20:23:45 +0000 2018,0.749,0.0,0.251,"RT @mazie_JM: Finally sewed #BTSxAMAs patch onto my favorite bomber jacket...???
...means I will definitely wear to work 
@BTS_twt https://…",45
45,0.4576,Thu Jan 04 01:36:30 +0000 2018,0.85,0.0,0.15,Did @thegreatkhalid have the time of his life performing on @NYRE? The answer is absolutely yes. PROOF:… https://t.co/OhHo8HafJv,46
46,0.5093,Wed Jan 03 20:33:32 +0000 2018,0.87,0.0,0.13,Because you can never have too many photos of @BTS_twt on @NYRE... here are ALL OF THEM! Tweet me your favorite one… https://t.co/ys8hsY0LCG,47
47,-0.0763,Wed Jan 03 00:59:44 +0000 2018,0.947,0.053,0.0,If you didn't see @NYRE on Sunday (I'm really sorry to hear that) but here are a ton of photos of what you missed:… https://t.co/kFv3oNnQmQ,48
48,0.0,Sun Dec 31 14:30:36 +0000 2017,1.0,0.0,0.0,Where to find @nickjonas tonight? He’s performing LIVE from Times Square on @NYRE! Ring in the new year at 8/7c on… https://t.co/BFAdU9EUlg,49
49,0.6696,Wed Dec 27 00:31:02 +0000 2017,0.757,0.0,0.243,RT @Trinity_Lei: Look what came in today! I love them ?? @BTS_twt @bts_bighit #BTS #BTSxAMAs https://t.co/nJzAItE2qY,50
50,0.8703,Wed Dec 27 00:30:56 +0000 2017,0.718,0.0,0.282,RT @jaimemrozek: finally got my #BTSxAMAs pin in the mail and it’s so cute!!! I’m gonna wear it with pride to show my support for my boys @…,51
51,0.3182,Wed Dec 27 00:28:18 +0000 2017,0.813,0.0,0.187,RT @JIMlNOPPA: my #BTSxAMAs patches and pins came :-) @BTS_twt https://t.co/2ErtL9X09B,52
52,0.508,Wed Dec 27 00:28:12 +0000 2017,0.838,0.0,0.162,"RT @kaleidoscopebts: #BTSxAMAs, so exited to have received these pins for Christmas! Definitely representing @BTS_twt's #ARMY today! https:…",53
53,0.0,Wed Dec 27 00:27:29 +0000 2017,1.0,0.0,0.0,"RT @TheTimMcGraw: @AMAs 2016 
Photo by Frederick M. Brown
#TeamMcGraw https://t.co/hTlOlD0RnU",54
54,0.5719,Tue Dec 26 18:30:00 +0000 2017,0.709,0.0,0.291,"Happy birthday to the one and only, @JaredLeto ?? https://t.co/Lj55oyiDjj",55
55,-0.5106,Wed Dec 20 19:07:12 +0000 2017,0.829,0.171,0.0,I had my ? fingers crossed ? that @Imaginedragons and @thegreatkhalid would release their Thunder / Young Dumb &amp; Br… https://t.co/njPiNXc5th,56
