,Date,Tweet
56,Thu Jan 25 18:39:33 +0000 2018,"Today, 25 years ago, were the 1993 #AMAs! Michael Jackson took home three awards and @MariahCarey &amp; @reba each won… https://t.co/yFIllYxCkf"
57,Thu Jan 25 18:26:31 +0000 2018,"RT @PearlJam: #OnThisDay in 1993, #PearlJam won two @AMAs for Favorite New Artist - Pop/Rock and Favorite New Artist - Heavy Metal/Hard Roc…"
58,Mon Jan 22 22:29:06 +0000 2018,"On this day in 1990, @JanetJackson took home TWO #AMAs including Favorite Single - Dance Music. ? https://t.co/lGzZD2Nnz7"
59,Mon Jan 22 21:52:46 +0000 2018,"RT @destinyschild: .@KELLYROWLAND, @Beyonce and @RealMichelleW took home two trophies at the 29th Annual @AMAs, held #OTD in 2002! The grou…"
60,Mon Jan 22 21:52:36 +0000 2018,"RT @NKOTB: ""Music truly is the international language and the universal language, even if it is spoken with a Boston accent."" 28 years to t…"
61,Wed Jan 17 19:40:21 +0000 2018,I have watched the 2017 #AMAs Instagram Story SO many times and now you can too because we re-posted it! Go watch a… https://t.co/lNvNiijCcI
62,Tue Jan 16 19:53:25 +0000 2018,"RT @BBMAs: Let the countdown BEGIN. ?

The 2018 #BBMAs are LIVE coast-to-coast on Sunday, May 20th at 8pm ET/5pm PT on @NBC. https://t.co/G…"
63,Tue Jan 09 20:24:12 +0000 2018,RT @SpringMochin: my pin ? #BTSxAMAs @BTS_twt https://t.co/iYFbaTUvMT
64,Tue Jan 09 20:23:45 +0000 2018,"RT @mazie_JM: Finally sewed #BTSxAMAs patch onto my favorite bomber jacket...???
...means I will definitely wear to work 
@BTS_twt https://…"
65,Thu Jan 04 01:36:30 +0000 2018,Did @thegreatkhalid have the time of his life performing on @NYRE? The answer is absolutely yes. PROOF:… https://t.co/OhHo8HafJv
66,Wed Jan 03 20:33:32 +0000 2018,Because you can never have too many photos of @BTS_twt on @NYRE... here are ALL OF THEM! Tweet me your favorite one… https://t.co/ys8hsY0LCG
67,Wed Jan 03 00:59:44 +0000 2018,If you didn't see @NYRE on Sunday (I'm really sorry to hear that) but here are a ton of photos of what you missed:… https://t.co/kFv3oNnQmQ
68,Sun Dec 31 14:30:36 +0000 2017,Where to find @nickjonas tonight? He’s performing LIVE from Times Square on @NYRE! Ring in the new year at 8/7c on… https://t.co/BFAdU9EUlg
69,Wed Dec 27 00:31:02 +0000 2017,RT @Trinity_Lei: Look what came in today! I love them ?? @BTS_twt @bts_bighit #BTS #BTSxAMAs https://t.co/nJzAItE2qY
70,Wed Dec 27 00:30:56 +0000 2017,RT @jaimemrozek: finally got my #BTSxAMAs pin in the mail and it’s so cute!!! I’m gonna wear it with pride to show my support for my boys @…
71,Wed Dec 27 00:28:18 +0000 2017,RT @JIMlNOPPA: my #BTSxAMAs patches and pins came :-) @BTS_twt https://t.co/2ErtL9X09B
72,Wed Dec 27 00:28:12 +0000 2017,"RT @kaleidoscopebts: #BTSxAMAs, so exited to have received these pins for Christmas! Definitely representing @BTS_twt's #ARMY today! https:…"
73,Wed Dec 27 00:27:29 +0000 2017,"RT @TheTimMcGraw: @AMAs 2016 
Photo by Frederick M. Brown
#TeamMcGraw https://t.co/hTlOlD0RnU"
74,Tue Dec 26 18:30:00 +0000 2017,"Happy birthday to the one and only, @JaredLeto ?? https://t.co/Lj55oyiDjj"
