,Date,Tweet
152,Wed Apr 25 18:36:00 +0000 2018,"Cincinnati! @SaraEvansMusic, @TrentHarmon, Rob Hatch &amp; @EricPaslay share the stage at @OTRMemorialHall in Cincinnat… https://t.co/CJi9MDmrWB"
153,Wed Apr 25 16:38:00 +0000 2018,"Looking for a four-day, four-night #CMAfest vacation to see @LukeCombs perform at Nissan Stadium? Buy your tickets… https://t.co/VGG1zjLUB3"
154,Tue Apr 24 21:59:00 +0000 2018,"Old @CrowMedicine Show’s new album #Volunteer has us like ? 

Enter here to win a signed copy here:… https://t.co/6T0oMFoT8p"
155,Tue Apr 24 20:53:16 +0000 2018,Come see @CarrieUnderwood &amp; more of your favorite Country Music stars at #CMAfest! A limited number of four-day pas… https://t.co/vMhEnH54J2
156,Tue Apr 24 20:50:25 +0000 2018,"RT @TheTimMcGraw: From the 51st annual @CountryMusic Awards in 2017 with @BradPaisley.
Photo by Rick Diamond.
#TeamMcGraw https://t.co/XklW…"
157,Tue Apr 24 20:50:15 +0000 2018,RT @KeithUrban: Keith's new album #GraffitiU will be available everywhere FRIDAY! ? https://t.co/MCfsAhiCUv https://t.co/6VbOnY3JAz
158,Tue Apr 24 15:55:11 +0000 2018,RT @KeithUrban: Pre-order #GraffitiU in exclusive packages and gain a first look at behind-the-scenes content in the Graffiti U Digital Exp…
159,Tue Apr 24 12:32:00 +0000 2018,"There's no hiding the wine tonight - it's time to celebrate! Happy birthday, @CarlyPearce ?? Listen:… https://t.co/bByfxAmh9M"
160,Mon Apr 23 23:09:26 +0000 2018,RT @LukeBryanOnline: Catch the first live results show of this season’s @AmericanIdol TONIGHT! https://t.co/G2lUBUOmMG
161,Mon Apr 23 19:59:00 +0000 2018,Blame this AMAZING album on @BrothersOsborne. Listen to #PortSaintJoe NOW and enter here to win a signed copy:… https://t.co/uN7UGA80rw
162,Sun Apr 22 18:34:05 +0000 2018,"They sing, you vote - TONIGHT! https://t.co/9Y19rrP9xN"
