,Date,Tweet
62,Fri Jun 01 01:29:00 +0000 2018,My love for @HaileeSteinfeld knows no bounds ? https://t.co/LspPIdwXkr
63,Fri Jun 01 01:03:00 +0000 2018,"The music video for ""Girls Like You"" features cameos from @Camila_Cabello, @RitaOra, @maryjblige + more ? https://t.co/OUlOsT1pPd"
64,Fri Jun 01 01:00:00 +0000 2018,? @Drake apparently knew about his secret baby since day one https://t.co/POZm8gmfon
65,Fri Jun 01 00:32:00 +0000 2018,Biiiiiig mood ? | @DUALIPA https://t.co/hts4QgqwUH
66,Fri Jun 01 00:30:02 +0000 2018,RT @ATT: This night is gonna pop! ? Get ready for @iHeartRadio #WangoTango! Streaming here LIVE on June 2nd at 7pm PT. https://t.co/VcJUBD2…
67,Fri Jun 01 00:00:00 +0000 2018,? @NICKIMINAJ is spilling some major tea about her upcoming #Queen album and sharing some great relationship advice https://t.co/7oqcFSbGDU
68,Thu May 31 23:30:00 +0000 2018,Can't wait to see these boys at #WangoTango Village on Saturday ? | @JackAndJack https://t.co/pNdrxby683
69,Thu May 31 22:49:48 +0000 2018,Me to donuts 20 minutes after starting my diet ? | @selenagomez https://t.co/HuIwsv5MAi
70,Thu May 31 22:30:00 +0000 2018,Would you rather be #Friends with @marshmellomusic and @AnneMarie or @justinbieber and @bloodpop? ? https://t.co/IAaJm8kNa4
71,Thu May 31 22:24:22 +0000 2018,RT @Aly_Raisman: ? https://t.co/K1cKpheHDK
72,Thu May 31 22:14:11 +0000 2018,? Y E S ? https://t.co/qRHA6fYGhE
73,Thu May 31 22:00:01 +0000 2018,Mood when your mom says you're having pizza for dinner ? | @BebeRexha https://t.co/irz395lwEk
74,Thu May 31 21:29:00 +0000 2018,Cardi B just realized Childish Gambino and Donald Glover are the same person: https://t.co/lRroJkorZd https://t.co/41TqoblX3k
75,Thu May 31 21:00:01 +0000 2018,Can we treat every day like it's @Normani's birthday? ? https://t.co/MHfwLCostk
76,Thu May 31 20:30:00 +0000 2018,Ever wonder what the @backstreetboys think of their old #TBT photos? ? https://t.co/aN6MZgWTAC
77,Thu May 31 20:08:37 +0000 2018,"Now with @Logic301 on our #iHeartDayStage lineup, it's a perfect time to go buy tickets and join us in Vegas this S… https://t.co/eo6DFQubna"
78,Thu May 31 20:00:00 +0000 2018,19 facts you didnt know about the 2018 #WangoTango performers: https://t.co/mDk0J7ygHQ https://t.co/eoaMzTgOER
79,Thu May 31 19:29:00 +0000 2018,"Pssst, @jackaverymusic is the modern day Jack Dawson. Tell your friends!!!! ?? (you make a beautiful Rose,… https://t.co/bEFCdY4IYg"
80,Thu May 31 19:27:19 +0000 2018,@arianatorfrvvr @ArianaGrande @ShawnMendes @backstreetboys @ATT Show starts at 10PM Eastern Time and 7PM Pacific Time. #WangoTango
81,Thu May 31 19:01:00 +0000 2018,Everything you need to know about the Drake + Pusha T beef: https://t.co/s1CFdLKxQg https://t.co/CpWwo5WaAe
82,Thu May 31 18:46:37 +0000 2018,"? @ArianaGrande, @ShawnMendes, @backstreetboys + so many more amazing artists will take the #WangoTango stage this… https://t.co/ZMqaMfdRa6"
83,Thu May 31 18:32:00 +0000 2018,"Hey @ShawnMendes, do you want to get a 6th tattoo? @Logic301 wants to know... ? #WangoTango

https://t.co/yBFKW3qFEV"
84,Thu May 31 18:00:03 +0000 2018,The anthems you need to hear while going through a breakup: https://t.co/8gEqbOCEWO https://t.co/LYaNMw3TCc
85,Thu May 31 17:32:00 +0000 2018,Offset found the man who saved his life after his recent accident and bought him a brand new car:… https://t.co/3ht8gr8Zlm
86,Thu May 31 17:21:04 +0000 2018,"RT @ATT: Catch an incredible night of music featuring @Meghan_Trainor &amp; more at @iHeartRadio #WangoTango! Streaming here LIVE, 6/2, 7PM PT.…"
87,Thu May 31 17:18:53 +0000 2018,"?  ?  @Logic301 #iHeartDayStage 

https://t.co/l5FHiRPRjI https://t.co/uJ8Eza5pWc"
88,Thu May 31 17:02:59 +0000 2018,Let's GO! Happy to announce that @Logic301 will be joining our stacked #iHeartDayStage lineup this fall in Las Vega… https://t.co/VoE79ll1IS
89,Thu May 31 17:02:00 +0000 2018,Honestly @samsmithworld's skin in this pic is brighter than my future https://t.co/ZLMiCZPPct
90,Thu May 31 16:25:00 +0000 2018,A @iamcardib remix of @maroon5's 'Girls Like You' is dropping tomorrow: https://t.co/oeJTYINkzD ? https://t.co/Fb6upVNjNX
91,Thu May 31 16:02:01 +0000 2018,Pete Davidson + @ArianaGrande made it Instagram official yesterday with the most magical picture... literally:… https://t.co/jmNaqtibSb
92,Thu May 31 15:32:00 +0000 2018,Which @ShawnMendes track are you hoping to hear at #WangoTango this Saturday? ? https://t.co/ZfWsfeBpjH
93,Thu May 31 15:03:00 +0000 2018,".@MileyCyrus is back in the studio making ""heartbreaking tunes"" with @MarkRonson: https://t.co/8mIxHV06l7 https://t.co/I0vJssgEuI"
94,Thu May 31 14:32:00 +0000 2018,?? @ArianaGrande teased a new #Sweetner track about her anxiety: https://t.co/Lrp08k314D https://t.co/IlW3syTgxH
95,Thu May 31 14:00:03 +0000 2018,"This is your LAST CHANCE to enter, so what are you waiting for? You can have a private dinner with the one and only… https://t.co/JY40mH41Mj"
96,Thu May 31 13:00:00 +0000 2018,"Happy Birthday to the queen of my heart, Normani ? https://t.co/JVUx5ZVNUW"
97,Thu May 31 13:00:00 +0000 2018,#TheFour is back! Tune in to the season 2 premiere of @TheFourOnFox on June 7th @ 8/7 CT https://t.co/nG5HgERmtF
98,Thu May 31 03:35:59 +0000 2018,can’t wait bb ? #WangoTango https://t.co/qOOzzoCCSC
99,Thu May 31 02:17:27 +0000 2018,RT @ATT: This lineup is ?. Catch your favorite pop stars like @Meghan_Trainor and @ShawnMendes at @iHeartRadio #WangoTango. Streaming here…
100,Thu May 31 02:06:34 +0000 2018,RT @Zedd: @iHeartRadio @ShawnMendes You will get it :)
101,Thu May 31 02:01:00 +0000 2018,"From @DUALIPA's 'New Rules' to @ArianaGrande's 'Problem,' here are the 10 best songs to listen to after a breakup:… https://t.co/1Ask9R9ZlB"
102,Thu May 31 01:56:00 +0000 2018,@Zedd @ShawnMendes this is AMAZING news!!!! ?
